"LA","DETACHED","SEMI","TERRACE","FLAT"
"Camden",1819,4002,8678,83035
"City of London",15,12,71,4287
"Hackney",1891,4346,15561,79892
"Hammersmith and Fulham",1151,3996,16676,58767
"Haringey",4345,9814,27951,59845
"Islington",1057,2736,12960,76803
"Kensington and Chelsea",1020,2536,9692,65288
"Lambeth",3186,10728,21296,94807
"Lewisham",3796,15344,32797,64154
"Newham",6883,10788,36655,47193
"Southwark",2602,7783,19279,90758
"Tower Hamlets",1208,2569,10751,86729
"Wandsworth",3211,9708,31905,85669
"Westminster",1233,1997,8089,94453
"Barking and Dagenham",2789,13634,32296,20962
"Barnet",14782,40793,22263,58078
"Bexley",6759,41361,23084,21400
"Brent",7230,26535,18813,57708
"Bromley",24196,39620,28515,38531
"Croydon",18248,36752,38027,51983
"Ealing",6736,28358,32479,56509
"Enfield",8365,28401,37536,45614
"Greenwich",4304,18996,31341,46404
"Harrow",9993,33196,15713,25366
"Havering",10575,39824,25684,21116
"Hillingdon",14605,36541,22686,26382
"Hounslow",4458,28015,21874,40555
"Kingston upon Thames",8076,20223,11499,23841
"Merton",4537,14487,30238,29495
"Redbridge",6783,26395,34584,31343
"Richmond upon Thames",6671,19529,21689,31946
"Sutton",8379,22181,20282,27332
"Waltham Forest",4519,16447,36024,39871
