"LA","M.16_24","M.25_34","M.35_44","M.45_54","M.55_59","M.60_64","M.65_74","M.75_","F.16_24","F.25_34","F.35_44","F.45_54","F.55_59","F.60_64","F.65_74","F.75_"
"Camden",15372,24854,17636,12340,4723,4407,6024,4479,17209,25496,17510,11862,4639,4848,6913,6561
"City of London",370,1007,731,657,259,239,333,193,339,769,494,414,217,224,254,255
"Hackney",15335,32490,19382,13088,4412,3422,4684,3364,17022,31425,19346,13535,4444,3849,4989,4358
"Hammersmith and Fulham",11863,23297,15464,9825,3301,3075,4222,2942,11782,24732,15387,10292,3830,3602,4880,4369
"Haringey",14999,28833,21722,14878,4956,4263,5908,4085,15140,27768,21097,16194,5657,4980,6667,5709
"Islington",13848,27131,16612,11667,3843,3487,4720,3383,15570,27480,15954,11873,4058,3741,5165,4768
"Kensington and Chelsea",8265,17707,13435,10188,3633,3717,5111,3588,8395,17240,13397,10663,4053,4459,5817,4599
"Lambeth",18448,40305,26106,18040,5547,4473,5926,4347,19357,39835,24180,18458,5825,4539,6691,6223
"Lewisham",16478,27509,22892,17430,5442,4829,6333,4841,17333,27619,23240,18801,6081,4960,7308,7653
"Newham",26566,40023,23824,15985,5185,4011,5334,3912,22342,32309,20883,16225,5622,4522,6127,5220
"Southwark",18972,33846,25121,17920,5538,4411,5624,4083,21006,34176,23104,18271,5546,4661,6355,6267
"Tower Hamlets",20888,37768,20956,11876,3941,2832,3907,3200,21893,35417,16261,9638,3882,3031,4262,4201
"Wandsworth",15317,42949,26283,16220,5371,5117,6630,4883,18544,46008,25780,15968,5980,5541,7825,7573
"Westminster",12758,28441,19976,12952,4810,4491,6402,5003,13153,25778,17417,12620,5188,4714,6805,6304
"Barking and Dagenham",11634,13996,13752,10952,3843,3323,4249,3712,11470,16216,14470,11276,3884,3476,5027,6333
"Barnet",19965,29835,26177,21534,8493,8077,10901,9458,20178,31761,27516,23293,9056,8835,12822,14251
"Bexley",13570,13684,15485,16442,6143,6197,8613,7285,13739,14830,17188,17047,6296,6598,10082,11232
"Brent",20185,33434,23244,19265,7212,6065,8428,6291,18881,31454,22854,19754,7231,6203,9516,8441
"Bromley",15006,18844,22602,21834,8260,8807,11949,10364,15207,20107,24466,23162,8789,9685,13821,15903
"Croydon",21043,27235,26102,25157,9002,8194,10697,8674,21202,29099,27695,26442,9887,8835,12458,12546
"Ealing",20060,34369,27465,20687,8102,7037,9252,6930,19142,33206,26404,21197,8517,7159,10167,9878
"Enfield",18595,23185,22046,20153,7184,6638,9458,7325,19389,25901,24010,21713,7804,7014,10934,11116
"Greenwich",16611,23588,20373,15449,5435,5079,6422,4868,16297,23738,19999,15737,5648,5093,7253,7573
"Harrow",14534,19602,16591,15212,6483,5791,8241,6761,13505,19351,17159,16283,6601,6219,9179,9486
"Havering",13776,14152,15307,16814,6744,7127,9373,8288,13426,14994,16498,17365,6930,7434,11188,13428
"Hillingdon",19219,21036,19760,17737,6847,6247,8652,7094,18351,21349,19931,18171,6678,6539,9409,10023
"Hounslow",15644,26274,20175,15542,6044,5314,6986,5046,14681,25422,19113,15664,6161,5531,7606,7221
"Kingston upon Thames",10290,12739,12816,10250,3955,3878,4963,3910,11280,12975,12748,10380,4017,4104,5278,6207
"Merton",10491,20354,16464,12431,4491,4230,5560,4490,10228,20427,16295,12902,4858,4547,6320,6752
"Redbridge",17155,23834,19925,17175,6933,6154,7943,6563,15987,23915,20371,17842,7012,6424,8874,10005
"Richmond upon Thames",7906,13840,16577,13108,5022,4904,6217,4714,8358,14732,16793,13233,5045,5238,6806,7559
"Sutton",9791,13239,14750,13512,5005,4987,6437,5289,9883,14249,15400,13690,5040,5379,7348,8159
"Waltham Forest",16730,26013,21199,15511,5384,4769,6344,4797,16059,24663,20156,16150,5917,5014,7069,7356
