"LA","A","B","C","D","E","F","G","H"
"Barking and Dagenham",7477,9940,40267,7482,1755,313,48,23
"Barnet",1582,8604,25186,29115,28164,18129,15137,3574
"Bexley",4778,9609,26917,25630,19127,4495,1669,45
"Brent",3694,10653,29410,28257,20900,6032,3379,252
"Bromley",1617,8976,26375,33944,27604,16477,13045,930
"Camden",1925,9454,18473,23400,15938,9771,11441,3918
"City of London",12,241,626,736,1686,756,759,91
"Croydon",1751,18342,40439,36014,21181,11308,7336,610
"Ealing",2458,11486,27667,39890,21446,9177,6502,905
"Enfield",5159,10436,29767,33839,19885,8373,5786,784
"Greenwich",12433,17032,31058,17747,9933,2667,1813,287
"Hackney",4162,30769,27010,12744,8158,3805,1109,42
"Hammersmith and Fulham",2691,5343,13123,21582,13689,8588,10126,1804
"Haringey",4356,14821,29259,24600,10768,5397,4633,600
"Harrow",262,2844,16669,26426,21229,7105,5724,1045
"Havering",5285,9424,23157,32655,14720,6062,3008,234
"Hillingdon",661,5180,19941,42884,16954,9120,4401,365
"Hounslow",1249,7918,21211,34251,13240,4964,3590,755
"Islington",663,5376,26185,26030,11941,6150,6142,791
"Kensington and Chelsea",541,3191,8845,13026,13101,11661,19683,13742
"Kingston upon Thames",135,2498,13728,19095,13565,7417,3836,854
"Lambeth",4560,31455,34410,24710,12216,8338,4818,394
"Lewisham",6873,29544,38481,24337,7208,2775,1301,168
"Merton",1046,7744,19170,26121,12774,4503,3808,1375
"Newham",4904,28658,43229,13917,1897,202,18,23
"Redbridge",1627,10358,22342,29995,19196,7091,2836,162
"Richmond upon Thames",593,1897,11315,19235,19489,11067,11650,2624
"Southwark",13050,36353,29439,16490,10229,4336,3288,402
"Sutton",541,6809,24093,22351,11750,6546,3634,245
"Tower Hamlets",1570,25390,29246,11217,9240,4306,2256,324
"Waltham Forest",4613,25024,31942,21920,8114,1805,443,25
"Wandsworth",5993,11744,34282,28688,17740,11704,10674,1860
"Westminster",1493,6007,15354,21175,20210,14791,19937,13123
