"LA","A","B","C","D","E","F","G","H"
"Camden",3865,10680,19751,24533,16930,10638,11867,4244
"City of London",9,240,661,854,2328,986,893,117
"Hackney",5277,31309,31386,18254,9674,3991,1101,41
"Hammersmith and Fulham",3208,5555,13779,23508,14568,8843,10518,2004
"Haringey",6114,17400,32081,25700,10599,5421,4669,676
"Islington",2543,5902,28763,30488,15672,7852,6532,853
"Kensington and Chelsea",1374,3523,9202,13591,13229,11788,19528,14467
"Lambeth",4732,32299,38906,28454,13666,8705,5233,632
"Lewisham",7161,32187,41366,25207,7196,2750,1299,176
"Newham",4974,31575,47039,16293,2999,712,112,26
"Southwark",12036,37138,33097,20632,13456,5674,3922,536
"Tower Hamlets",1784,25002,33806,20658,15840,7372,2988,460
"Wandsworth",6008,12260,35659,31349,20470,13830,11956,2447
"Westminster",1729,6811,15862,22369,21948,16625,21527,14226
"Barking and Dagenham",7106,10692,43150,8220,1666,328,44,19
"Barnet",2096,9404,26978,31693,29745,18887,15554,3890
"Bexley",4830,10044,28059,26665,19159,4601,1661,43
"Brent",2520,12330,33103,30928,21562,6223,3325,250
"Bromley",1798,9753,27771,35133,28421,17409,13345,1244
"Croydon",2300,20815,45109,37315,21435,11420,7340,634
"Ealing",3290,12547,30303,42379,22031,9575,6636,933
"Enfield",4956,11221,32780,35746,20691,8921,5825,858
"Greenwich",10928,19336,37941,20316,10087,2780,1881,314
"Harrow",489,3385,18567,27520,21725,7707,6043,1149
"Havering",5372,10188,25227,34535,14938,6174,3009,283
"Hillingdon",817,5579,21959,44402,17665,9465,4803,399
"Hounslow",1571,8507,24901,36715,14390,5447,3740,810
"Kingston upon Thames",464,2865,14412,19750,14329,7828,3958,913
"Merton",1055,8037,21171,27240,12929,4974,3898,1545
"Redbridge",1664,12278,25564,31589,19290,7252,3097,197
"Richmond upon Thames",548,2100,12509,19866,19577,11604,12302,3171
"Sutton",759,6902,26016,23404,12084,6699,3636,252
"Waltham Forest",3629,28698,33679,22244,8092,1778,432,31
