"LA","EMP","UNEMP","RET","INACT_O","OVER_74"
"Barking and Dagenham",36715,2225,9180,10762,8390
"Barnet",83058,3041,14408,12385,14034
"Bexley",56569,1668,13699,6765,10756
"Brent",63332,3886,11519,13458,7761
"Bromley",80283,2306,18666,8935,15669
"Camden",57019,4065,7855,15634,7018
"City of London",3053,118,427,413,344
"Croydon",91545,4166,16521,13998,12742
"Ealing",77675,3204,12959,13542,10619
"Enfield",67987,3575,14044,12940,11832
"Greenwich",53490,4338,10810,14389,9737
"Hackney",49062,5272,8247,17117,6318
"Hammersmith and Fulham",48872,2858,7349,10203,6144
"Haringey",56664,4806,8877,15607,6174
"Harrow",51567,1592,9942,6565,9273
"Havering",55774,1476,15572,6996,11893
"Hillingdon",63397,1657,12627,8596,10354
"Hounslow",56201,1845,9213,9504,7225
"Islington",48620,4276,7835,15688,5837
"Kensington and Chelsea",50726,2800,7986,10721,6893
"Kingston upon Thames",42539,1038,6746,4349,6756
"Lambeth",77189,6107,10294,17299,7524
"Lewisham",67811,4914,10766,14766,9107
"Merton",53750,1711,8908,6529,7990
"Newham",50889,5362,9099,19747,6694
"Redbridge",58359,2356,11915,9333,10305
"Richmond upon Thames",53412,1362,8249,4796,8325
"Southwark",64583,5471,10324,17103,8287
"Sutton",51555,1301,9571,5498,8478
"Tower Hamlets",44105,4940,7886,15957,5616
"Waltham Forest",56126,3329,9693,12094,8525
"Wandsworth",81149,3376,10264,11826,9026
"Westminster",57773,3444,8576,13638,7728
