"LA","FT","PT","UNEMP","RET","INACT_O"
"Camden",53272,12669,3844,14448,13282
"City of London",2942,398,90,690,263
"Hackney",51780,16274,6713,12030,14867
"Hammersmith and Fulham",47963,9164,3385,10662,9400
"Haringey",53898,15631,5324,14348,12733
"Islington",51534,10968,4725,11991,14326
"Kensington and Chelsea",45134,8950,2925,11278,10235
"Lambeth",77504,15894,7160,15143,14286
"Lewisham",63463,16189,6059,17471,12887
"Newham",49142,18592,6475,13195,14080
"Southwark",68661,15830,6321,15025,14563
"Tower Hamlets",55022,14631,5972,10588,15028
"Wandsworth",85903,13315,4013,17110,10136
"Westminster",58760,12174,4014,14729,16066
"Barking and Dagenham",32988,9547,4114,13440,9583
"Barnet",74428,19290,4633,25577,11958
"Bexley",49411,10391,2655,23732,6411
"Brent",57898,16886,5531,17803,12151
"Bromley",71866,14549,3539,32826,8080
"Croydon",79120,19380,6319,27186,12993
"Ealing",70397,15658,4842,21031,12130
"Enfield",57839,18492,5896,23445,14221
"Greenwich",54066,12906,5058,17234,11771
"Harrow",47078,11023,2292,18097,5765
"Havering",50284,10437,2897,27166,6414
"Hillingdon",55774,12012,3112,21361,7939
"Hounslow",55224,11679,3139,16065,8782
"Kingston upon Thames",37624,7949,1604,12252,4197
"Merton",48072,9378,2109,14150,5041
"Redbridge",53313,13918,3826,19317,8691
"Richmond upon Thames",49837,8602,1662,15509,4216
"Sutton",45570,8857,2025,16964,4755
"Waltham Forest",51585,14115,4578,16488,10084
