"LA","CPL.FT","CPL.PT","CPL.UNEMP","CPL.RET","CPL.INACT_O","SGL.FT","SGL.PT","SGL.UNEMP","SGL.RET","SGL.INACT_O","OVER_74"
"Barking and Dagenham",30668,9007,1890,8051,13612,20471,3497,3198,5348,17145,11503
"Barnet",66029,20469,3069,14176,22616,45548,7952,4649,8712,32917,20462
"Bexley",52288,16434,1846,15426,13814,27489,4229,2682,6698,15073,15381
"Brent",49444,11834,3437,10727,19587,43688,7690,6398,8156,36225,11935
"Bromley",69929,22098,2263,20730,18292,38564,6477,3393,9233,20375,22637
"Camden",31862,7472,2027,4521,13138,39575,7404,5286,6127,29212,9412
"City of London",1463,208,65,222,350,2114,235,133,323,670,447
"Croydon",71732,20281,3343,16650,20417,50873,8303,5651,9609,29647,18682
"Ealing",65147,14176,3389,11814,21780,51542,7110,5365,8547,34308,15473
"Enfield",55763,16838,3409,14244,20898,37404,6133,4754,7884,28442,16762
"Greenwich",39594,10354,2574,8835,14109,31470,5724,5728,6954,26700,13137
"Hackney",26649,8231,3268,4500,16638,33490,7027,6776,6501,32584,8123
"Hammersmith and Fulham",29764,5429,1935,3967,10114,39516,5726,4361,6003,21269,7982
"Haringey",36407,9185,3255,6825,16379,38141,7395,6176,6217,31189,8648
"Harrow",47968,14338,2021,11237,14306,27072,4274,2558,5628,20290,13752
"Havering",51747,17522,1678,17800,15370,27745,4453,2509,7195,14794,17305
"Hillingdon",57636,16155,1942,13660,15102,32369,4923,2809,6907,20797,15064
"Hounslow",48208,11025,1980,8998,14799,34949,4937,3136,5811,22421,10599
"Islington",28574,6270,2159,4568,11082,35342,6143,5614,6017,26645,7644
"Kensington and Chelsea",27000,5258,1709,3677,12269,33980,6508,4050,6532,21106,8613
"Kingston upon Thames",35893,9944,1180,6953,8896,21736,3239,1502,3725,13525,9541
"Lambeth",45170,9578,3320,6772,14679,61019,9544,8873,7813,34861,10481
"Lewisham",48154,11393,3325,8555,15632,42177,7822,6834,7253,30355,12511
"Merton",44057,10954,1807,8288,12313,32318,4425,2720,5513,16673,11226
"Newham",32870,8714,3945,6785,23845,33405,6071,7415,6391,39813,9142
"Redbridge",51194,14852,2661,12495,18471,31054,5017,3546,6806,23915,15220
"Richmond upon Thames",43745,11263,1372,7687,10808,27030,4458,1907,5035,12510,11568
"Southwark",41116,9098,3613,7066,15536,44422,7840,7553,7465,35038,11143
"Sutton",44389,13227,1306,9926,10245,25872,4005,1986,5237,12201,11970
"Tower Hamlets",25123,6766,3775,5535,20949,33070,5080,5533,5398,30425,7454
"Waltham Forest",41634,11121,2841,8796,16609,34800,6041,4874,6142,25202,11718
"Wandsworth",54874,9940,2431,7707,15388,63967,7674,5335,7320,26600,12323
"Westminster",31345,5918,1892,4642,13348,41102,6281,4362,6797,25021,10030
