"LA","CPL.FT","CPL.PT","CPL.UNEMP","CPL.RET","CPL.INACT_O","SGL.FT","SGL.PT","SGL.UNEMP","SGL.RET","SGL.INACT_O"
"Camden",40613,10930,2337,7595,11287,43313,13805,6568,13047,27554
"City of London",1776,318,69,412,273,2260,360,132,560,435
"Hackney",35646,14208,3301,6014,13703,50549,18339,11870,10742,28956
"Hammersmith and Fulham",36185,8218,1998,5602,8566,44290,11080,6011,9534,19544
"Haringey",44206,16212,3437,9527,13475,45558,18633,10285,12013,27825
"Islington",39101,9113,2258,6228,8746,45475,12814,7941,10548,25103
"Kensington and Chelsea",31699,7296,1548,6478,10354,33777,8874,4446,9590,17507
"Lambeth",56724,14536,3643,8311,10728,74747,20724,12869,13438,29607
"Lewisham",51051,16424,3935,11078,11412,48818,20007,11631,14602,27258
"Newham",41881,18717,5738,9375,23148,46110,25809,15267,11278,38792
"Southwark",53986,14351,4080,8326,12096,58762,19907,11901,13147,32710
"Tower Hamlets",38301,13290,4783,6079,18800,52720,16310,11119,9226,29586
"Wandsworth",73377,15446,3011,10666,13344,72949,16694,7820,14462,22910
"Westminster",40148,9374,2408,8090,13770,48751,12280,6437,12563,26943
"Barking and Dagenham",30736,11465,3454,9376,11648,22689,10441,7628,10393,18785
"Barnet",72155,28960,4306,22209,19413,50071,20926,9347,19508,31511
"Bexley",50740,18876,2714,22652,9722,29235,11784,6008,15680,15927
"Brent",54297,19816,4578,15494,18530,52215,21673,11723,15398,32432
"Bromley",71102,25727,2962,30965,12671,40131,15177,6946,21765,19091
"Croydon",72026,25165,4818,24127,16015,54417,22041,12414,19924,30256
"Ealing",67415,21767,4594,17371,19561,56253,19569,10969,17190,31296
"Enfield",54844,23213,4302,20698,17687,40915,19267,11350,16990,30801
"Greenwich",48943,15468,4237,12785,12808,36996,15890,9683,13411,24389
"Harrow",51305,19923,3443,18491,13460,30924,12492,5939,13565,19716
"Havering",51200,19938,2587,26146,10476,30947,11312,6220,17537,14942
"Hillingdon",58574,19889,3578,19877,13341,36553,14190,7071,15352,21931
"Hounslow",55027,16880,3531,13565,14624,40256,14972,7161,12813,21615
"Kingston upon Thames",38556,12770,1594,10966,7352,21288,9198,3344,8802,12268
"Merton",47093,14559,2352,11746,10416,32677,10864,4803,10711,14176
"Redbridge",54421,21355,4267,18445,17547,34862,14642,8789,14631,25515
"Richmond upon Thames",49861,14660,1708,12535,8612,25917,8872,2991,11579,10539
"Sutton",45884,16300,2078,15088,7767,26252,9594,4258,12004,11491
"Waltham Forest",46438,17662,3921,12769,15192,40871,16319,9859,12945,25527
