"LA","SP.P","SP.NP","CPL.NK","MULTI.NK","LP.1K","LP.MK","CPL.1K","CPL.MK","MULTI.K"
"Barking and Dagenham",10226,10487,13402,10339,3639,3344,5114,8700,2009
"Barnet",17180,22571,25729,22279,4394,3456,10129,16930,4263
"Bexley",13197,12563,22800,13000,2700,2824,7411,13017,1953
"Brent",10859,18089,15543,22527,4451,3737,7469,10831,6482
"Bromley",18760,20046,33048,17338,3956,3612,9769,16899,2429
"Camden",10894,31323,14405,15230,3483,2731,4037,6329,3163
"City of London",619,1998,850,413,99,57,145,105,48
"Croydon",16626,29443,28079,19975,7016,5670,10707,17152,4329
"Ealing",14117,21938,22155,23269,3951,3781,8775,14300,5740
"Enfield",14882,19799,21846,17885,4540,3715,8757,15246,3733
"Greenwich",12995,21007,16812,13969,4960,4789,5738,9232,3281
"Hackney",10326,24479,11120,14353,4719,3897,4144,8609,4400
"Hammersmith and Fulham",9714,20671,12196,16550,2772,2160,3161,5418,2801
"Haringey",9519,23534,15121,17128,4704,4346,5624,8610,3580
"Harrow",10845,9859,17240,14766,2302,2109,6856,11274,3858
"Havering",14305,11312,24747,14187,2610,2549,7325,13003,1674
"Hillingdon",12768,14928,23006,15070,3318,3330,7785,13419,3010
"Hounslow",9669,15713,16186,15691,3099,2974,6465,10535,3654
"Islington",9613,26692,12460,14019,4213,3492,3529,5666,2597
"Kensington and Chelsea",11925,26529,12198,13315,2391,1157,3431,5428,2781
"Kingston upon Thames",7996,11744,14655,9582,1739,1387,4847,8018,1454
"Lambeth",11817,33107,18029,24335,6397,5738,6056,8180,4786
"Lewisham",12245,25168,19104,18263,5990,5252,7071,10250,4060
"Merton",10119,15232,17194,13770,2534,2228,5990,9381,2430
"Newham",10140,21111,10912,15219,5078,5844,5402,11691,6426
"Redbridge",12381,14469,19357,15407,3088,2959,7348,13370,3916
"Richmond upon Thames",10490,16553,18471,10440,1931,1367,5992,9436,1449
"Southwark",12236,27273,16787,19737,5722,4893,5656,8558,4951
"Sutton",10544,14729,18071,10163,2612,2068,5992,10702,1535
"Tower Hamlets",8673,21900,12253,13829,2772,2766,3372,8852,4109
"Waltham Forest",11051,18676,16520,15447,4437,4081,6271,10049,3246
"Wandsworth",12577,29711,22145,25371,3928,3159,5971,9205,3590
"Westminster",12765,32149,15656,15207,2555,1735,3669,5118,2318
