"LA","SINGLE.NOKIDS","SINGLE.KIDS","COUPLE.NOKIDS","COUPLE.1_2KIDS","COUPLE.3KIDS","MANY.NOKIDS","MANY.KIDS"
"Camden",39531,4486,25641,9115,2122,12572,4067
"City of London",2472,76,1295,256,18,218,50
"Hackney",35635,7547,24506,10079,3244,14616,6063
"Hammersmith and Fulham",30148,4083,21697,8101,1689,11774,3098
"Haringey",32524,7594,24797,12381,3115,15288,6256
"Islington",36240,6370,26484,7890,1597,11606,3369
"Kensington and Chelsea",36524,2687,21199,7172,1537,6764,2653
"Lambeth",44691,9887,34187,13182,2651,19089,6330
"Lewisham",39680,9762,28265,14502,2784,14227,6871
"Newham",26536,6799,18609,11929,4505,19779,13362
"Southwark",40307,8488,31327,13652,2752,17357,6539
"Tower Hamlets",35047,5373,27361,8999,3843,13530,7104
"Wandsworth",42106,5690,40463,15146,3078,18559,5451
"Westminster",47893,4203,28932,8673,2096,10544,3431
"Barking and Dagenham",19215,7597,14726,9882,2874,9146,6241
"Barnet",37957,6934,34946,19261,4937,22071,9810
"Bexley",25789,5454,25984,13163,2607,13350,6257
"Brent",30616,6517,23239,12743,3663,22217,11291
"Bromley",40815,6838,38331,18692,3284,15920,6982
"Croydon",43043,12608,35632,19431,4051,19976,10269
"Ealing",35329,6673,28156,16788,3974,22399,10763
"Enfield",33359,10167,28290,16479,3923,18579,9119
"Greenwich",32370,7564,24253,13674,3212,13140,6832
"Harrow",19008,3640,21369,12236,2719,16720,8576
"Havering",28215,5079,28630,12441,2421,14347,6066
"Hillingdon",25290,5977,25951,15006,3158,16651,8181
"Hounslow",25985,5547,22964,13530,2734,16030,8112
"Kingston upon Thames",18198,2546,18313,10014,1689,9285,3594
"Merton",22294,3419,22066,11618,2182,11792,5386
"Redbridge",25228,5813,22778,14403,3922,16617,10344
"Richmond upon Thames",26008,2896,23719,13289,2220,8424,3279
"Sutton",23749,3863,21575,12000,1974,10151,4862
"Waltham Forest",28756,5982,21266,13269,3351,16111,8126
