"LA","HIGHER.MP","LOWER.MP","INTER","SMALL.EMP","LOWER.ST","SEMI.RT","RT","NEVER_NOT","INACTIVE_O74"
"Barking and Dagenham",4511,15134,11606,5744,7887,12218,9476,2273,54053
"Barnet",30089,49279,19321,16610,7613,14300,7795,3293,96060
"Bexley",10437,28705,19774,11027,9947,14464,8882,1750,63765
"Brent",17894,35055,16958,12137,8787,16400,11100,4567,81149
"Bromley",23641,46944,22993,15053,9229,14792,7899,2344,89018
"Camden",25395,33670,8814,7653,4122,7866,4660,3404,64572
"City of London",1795,1519,347,246,107,215,112,73,1979
"Croydon",22560,49410,27477,14821,12007,19364,10818,4100,91188
"Ealing",27367,45661,20033,11643,10445,16663,11612,3729,87421
"Enfield",16381,36401,18757,13457,9524,15447,10854,3766,85341
"Greenwich",12740,27623,13968,7714,7749,13173,8827,4068,66729
"Hackney",13223,27227,9937,7094,5269,10765,7041,5075,64614
"Hammersmith and Fulham",21862,30973,9256,6941,4015,6946,4625,2582,47901
"Haringey",18398,34424,11685,8006,5617,10707,7174,4775,65376
"Harrow",17659,30347,15787,9825,6311,10722,5934,1873,62074
"Havering",10339,28609,19901,11673,9761,14647,9314,1552,70700
"Hillingdon",15385,33814,19439,10607,11122,14547,10325,1686,68914
"Hounslow",16912,30404,15689,7982,9092,13406,9183,1948,59115
"Islington",19198,27947,8940,6406,4341,8481,5500,3777,54964
"Kensington and Chelsea",22968,28384,6155,7591,2850,5661,3664,2313,52181
"Kingston upon Thames",15692,25145,9831,6962,4279,6957,3909,920,41188
"Lambeth",27264,47140,16474,9796,7824,14526,9384,5760,70420
"Lewisham",16917,38546,17374,9489,8656,15195,8909,4866,70108
"Merton",19873,31048,13494,8094,6249,9819,6043,1733,51362
"Newham",8742,22522,13331,6673,8282,16712,10403,5968,80139
"Redbridge",15737,33150,17717,12182,7454,12907,6524,2817,74351
"Richmond upon Thames",24884,32978,9508,8296,3918,5917,3562,1007,46877
"Southwark",20296,34405,14342,7910,7936,14632,9180,5463,74371
"Sutton",12522,28555,15484,9691,7333,10039,6150,1176,48206
"Tower Hamlets",15971,23191,9001,5147,5125,10408,6545,4465,66478
"Waltham Forest",11830,30987,15630,9007,7980,13778,8680,3656,64821
"Wandsworth",37896,52991,16181,10074,6434,11104,6976,2929,67878
"Westminster",25361,32047,8995,7703,4163,7709,4572,2693,60155
