"LA","HIGHER.MP","LOWER.MP","INTER","SMALL.EMP","LOWER.ST","SEMI.RT","RT","NEVER","NOTCLASS","INACTIVE"
"Camden",30273,39342,10336,10705,4275,8330,5035,4666,6667,65244
"City of London",2019,1699,340,318,126,175,100,90,144,1744
"Hackney",20051,42012,14557,13640,6408,12913,9208,8297,7313,60746
"Hammersmith and Fulham",24803,35778,10879,9708,4545,7771,5754,4010,5063,44552
"Haringey",20861,40093,14057,17085,7423,13782,10888,6994,7579,64094
"Islington",28020,38093,11493,9245,4652,8855,6003,5426,6209,55304
"Kensington and Chelsea",23430,30633,6621,9566,2628,5815,3736,3221,2891,45726
"Lambeth",34067,57929,20161,15846,9260,15923,13053,8562,9123,64376
"Lewisham",21051,43842,19499,14376,8696,16968,10222,7554,10119,66422
"Newham",12796,28470,17256,18776,10346,21828,15178,10288,19176,83976
"Southwark",30243,46849,17459,13099,9075,16428,12031,8200,11101,70416
"Tower Hamlets",26950,39329,15094,9645,7280,12304,7804,8439,10778,66330
"Wandsworth",47126,65783,19703,16643,7102,12572,8582,5146,8023,65309
"Westminster",33230,39412,10219,10911,4434,8319,5544,4756,4958,65029
"Barking and Dagenham",5802,16678,12438,10220,6426,13652,9913,6045,5519,50920
"Barnet",33844,51517,22208,27416,8112,16941,10581,6623,9077,95833
"Bexley",12296,28200,22571,13792,8683,14935,9553,4030,5343,65028
"Brent",19712,37051,19252,23160,9620,21094,15768,8204,10992,83605
"Bromley",27324,47309,25957,19226,8547,15279,8429,4711,5510,86514
"Croydon",25519,49549,30737,20568,11042,22256,13080,8467,10057,92993
"Ealing",27207,46229,21657,23022,10540,19700,15172,8138,9963,87944
"Enfield",18694,37587,21275,19603,9123,18428,12556,8309,8545,88345
"Greenwich",18226,32755,16781,13261,7929,16348,10540,7037,9719,66567
"Harrow",21393,31312,17820,16109,5854,13289,7411,4574,6419,66817
"Havering",12741,28358,23075,15491,8748,15260,9864,4253,4573,70481
"Hillingdon",17526,33535,21953,14740,10521,16854,12287,5176,9663,74788
"Hounslow",18887,33802,18853,14791,9465,16887,12379,5089,8312,63959
"Kingston upon Thames",17058,25836,11018,9516,4011,7671,4356,1997,6375,41952
"Merton",21276,31893,14478,12897,5834,10673,7121,3366,5064,48238
"Redbridge",21581,35182,19741,17687,6598,14896,8002,6602,8178,77645
"Richmond upon Thames",26808,37216,10654,10907,3574,6167,3720,2025,3753,45228
"Sutton",14305,27907,17551,12660,6732,11404,6939,2919,4136,47605
"Waltham Forest",13799,32765,17688,19629,8655,15778,11597,7155,8409,67656
