"LA","R1","R2","R3","R4","R5","R6","R7","R8","R9PLUS"
"Camden",6116,12241,23651,24696,15362,6636,3151,2299,3382
"City of London",373,870,1357,1086,366,175,86,38,34
"Hackney",4367,10394,25619,27376,18542,7620,3483,2238,2051
"Hammersmith and Fulham",3651,7336,19981,20696,13113,7365,3805,2304,2339
"Haringey",4393,8230,21306,25680,18187,11183,5688,3733,3555
"Islington",3320,10921,26028,25333,14722,6130,3100,2063,1939
"Kensington and Chelsea",5249,9181,18429,20428,10842,5297,3023,2195,3892
"Lambeth",4043,10779,29451,36545,24163,12038,5809,3665,3524
"Lewisham",2453,8243,22907,31264,23961,15023,6222,3292,2726
"Newham",2201,7405,21103,24740,24801,13165,4696,2131,1277
"Southwark",3373,10624,31167,34008,22174,9709,4287,2582,2498
"Tower Hamlets",2761,11303,27608,31026,18024,6546,2180,1022,787
"Wandsworth",2473,9125,27297,36229,23918,14341,7635,4419,5056
"Westminster",5661,14088,28089,28759,15556,5908,2793,1863,3055
"Barking and Dagenham",629,2993,10605,19594,21598,9815,2655,1165,627
"Barnet",3047,6846,17983,32470,24959,21046,12762,8281,8522
"Bexley",441,2100,8680,18218,24572,21106,9605,5115,2767
"Brent",4209,7971,20095,26158,20102,16593,7706,4311,3141
"Bromley",893,3699,14910,25559,27014,25055,15017,9484,9231
"Croydon",2217,7186,20815,30437,30065,26503,13286,7844,6657
"Ealing",3028,7535,20763,28313,26224,20181,8910,4779,4349
"Enfield",2013,5393,17283,27303,29700,20691,9117,4696,3720
"Greenwich",1387,5686,17856,25058,24788,15262,5913,2831,2264
"Harrow",992,3032,9791,15936,18375,17736,8874,5200,4332
"Havering",391,2013,9198,17674,29259,21060,9357,4669,3578
"Hillingdon",1150,3889,12176,22505,24815,19570,8415,4369,3325
"Hounslow",1804,5463,15822,23361,21472,15041,6240,3173,2526
"Kingston upon Thames",895,2894,7808,13928,12498,11918,6685,3697,3316
"Merton",865,3873,11362,17384,17768,14892,6218,3144,3251
"Redbridge",1149,4523,12686,18844,21215,19640,10392,6124,4532
"Richmond upon Thames",890,3525,10854,18326,15082,12217,7745,5222,5974
"Sutton",721,2790,10466,18520,16618,13890,7051,4280,3838
"Waltham Forest",1836,5436,16462,23666,22447,15692,6585,3045,1692
