Area,tot.count,tot.mean,tot.median
Barking and Dagenham,56,18600,16200
Barnet,159,30400,18700
Bexley,112,22000,18300
Brent,127,21100,16500
Bromley,164,27400,19100
Camden,101,42800,19800
City of London,12,92900,38300
Croydon,153,23500,18300
Ealing,141,25200,17500
Enfield,128,23100,17500
Greenwich,91,24000,18600
Hackney,72,22400,17700
Hammersmith and Fulham,83,37500,21000
Haringey,90,28000,19100
Harrow,100,26500,19300
Havering,114,22200,17400
Hillingdon,113,23600,17600
Hounslow,101,23800,16500
Islington,82,33500,18700
Kensington and Chelsea,75,78900,25900
Kingston upon Thames,77,28400,19500
Lambeth,119,25600,18200
Lewisham,113,21600,18000
Merton,96,28900,18500
Newham,88,17700,15300
Redbridge,118,23800,17200
Richmond upon Thames,94,41500,23400
Southwark,97,25900,16900
Sutton,98,23100,17600
Tower Hamlets,76,29900,19100
Waltham Forest,99,20300,16600
Wandsworth,143,36000,21700
Westminster,95,55600,21900
