"Area","semp.count","semp.mean","semp.median","emp.count","emp.mean","emp.median","pens.count","pens.mean","pens.median","tot.count","tot.mean","tot.median","tax.count","tax.mean","tax.median","tax.total"
"London",572,31100,11500,3180,36100,23300,644,15600,12300,3950,39100,23800,3950,8850,3060,35000
"Barking and Dagenham",11,14200,12200,59,22900,20500,11,11000,11200,73,22800,19600,73,3000,2300,220
"Barnet",32,29400,11500,136,33600,21800,36,16200,12200,179,39200,24200,179,8600,3050,1540
"Bexley",13,16800,13600,87,28000,22600,29,13800,12700,114,28300,22300,114,4520,2760,516
"Brent",24,17200,11000,121,25700,19800,19,12500,10800,149,27400,20200,149,4550,2420,680
"Bromley",22,23100,12700,123,35000,24700,46,17900,14100,168,36400,25100,168,7460,3290,1250
"Camden",18,82600,13600,84,56000,27000,14,21500,13100,104,69300,30400,104,20200,4180,2100
"City of London",2,116000,68700,6,113000,44000,1,23800,11900,8,117000,51600,8,40200,8600,339
"Croydon",21,18000,10400,133,28700,22700,39,15500,13100,171,29700,22700,171,5110,2840,875
"Ealing",24,20000,10600,129,30700,21300,25,13900,12200,162,32000,21300,162,6200,2650,1000
"Enfield",20,20700,10800,105,27900,22200,27,14200,12200,135,30400,22300,135,5390,2800,729
"Greenwich",16,20200,11500,95,29700,22000,19,14500,12300,117,31000,21800,117,5730,2710,671
"Hackney",18,21500,10700,84,29100,23100,9,11100,10200,101,31200,23300,101,5680,2980,572
"Hammersmith and Fulham",13,38400,11700,83,48700,26500,12,17200,12200,98,52700,27600,98,14300,3810,1400
"Haringey",22,25100,11100,93,31600,21600,15,16700,12900,116,34600,22200,116,7180,2740,834
"Harrow",21,22100,11800,93,29100,21600,26,14600,11900,122,32400,23000,122,5970,2840,729
"Havering",17,19100,14100,92,30600,23200,33,13500,11600,125,30400,22700,125,5370,2800,672
"Hillingdon",16,19200,12000,112,28500,23000,26,15400,12800,139,30000,23500,139,5080,3020,706
"Hounslow",17,30000,10300,111,30100,21700,19,12200,10400,133,32400,21800,133,6440,2690,858
"Islington",16,42000,12200,90,42300,26700,11,15500,11300,105,47200,28100,105,11600,3750,1230
"Kensington and Chelsea",12,148000,12200,57,114000,32400,12,25100,12300,70,137000,37200,70,50400,5430,3550
"Kingston upon Thames",12,23800,11100,65,36600,25900,18,16400,13400,82,38700,26000,82,8200,3500,674
"Lambeth",19,22300,10400,129,33600,24100,13,14100,11600,148,35700,24600,148,7280,3240,1080
"Lewisham",18,16500,11000,104,29300,23100,17,14300,13100,126,29800,22900,126,5140,2910,646
"Merton",16,44400,11200,85,38900,24600,19,16300,12300,106,43700,25200,106,10400,3350,1110
"Newham",19,13300,11400,108,22000,17800,8,11100,10500,127,22000,17600,127,2980,1950,380
"Redbridge",21,18500,11200,98,29700,22800,23,15300,12400,127,30900,22900,127,5510,2860,702
"Richmond upon Thames",16,37800,11200,79,55300,29900,26,18800,14100,104,57400,31500,104,15600,4370,1630
"Southwark",16,26200,10700,122,33900,23800,12,14100,11300,138,36500,24300,138,7660,3240,1060
"Sutton",12,19800,12200,78,30500,25300,21,15300,13100,99,31400,25300,99,5450,3330,542
"Tower Hamlets",12,22300,10600,101,36800,23800,7,13700,11100,112,38200,24700,112,8480,3270,946
"Waltham Forest",23,14400,11700,96,25200,21100,15,14400,13500,123,25300,20300,123,3760,2410,461
"Wandsworth",22,47200,11700,136,48500,28700,20,16000,12100,161,53400,29400,161,14200,4130,2290
"Westminster",14,113000,15600,88,72800,29400,14,26800,12900,104,88200,32400,104,28600,4620,2980
