Borough,gross.wkly.40,gross.wkly.50,gross.wkly.60
London,536.6,608.8,689.9
Camden,605,681,804.9
City of London,#,1006.9,#
Hackney,544.1,610.6,670.8
Hammersmith and Fulham,591.7,649.3,766.6
Haringey,490.4,559,628.7
Islington,585.7,674.8,777.2
Kensington and Chelsea,764,910.2,1155.1
Lambeth,563.3,632.4,693.5
Lewisham,499.7,560.7,632.4
Newham,441.5,498.2,552
Southwark,555.8,627.1,715.2
Tower Hamlets,566.7,639.4,737.9
Wandsworth,623.4,689.9,786
Westminster,644.9,775.3,940.9
Barking and Dagenham,447.8,500.8,561.8
Barnet,540.1,621.4,702.1
Bexley,541,609,664.7
Brent,437,498.3,559.9
Bromley,581.2,653.5,722.1
Croydon,507.4,574.9,645
Ealing,498.9,574.9,651.5
Enfield,498.5,555.9,632.8
Greenwich,519.1,596.3,669.9
Harrow,519.1,599.7,673.9
Havering,537.7,582.3,668
Hillingdon,505.5,577.5,674.6
Hounslow,486.2,550.3,629.9
Kingston upon Thames,584.5,670.8,773.1
Merton,555.6,628.5,721.7
Redbridge,507.4,579.2,690.4
Richmond upon Thames,669.2,766.6,881.6
Sutton,523.6,582,646
Waltham Forest,482.1,542.2,605.9
