,"Table 3.2",,,"Gross disposable household income1 (GDHI) per head at current basic prices",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"£ per head"
,,,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,"20132"
,"NUTS Level 1",,,,,,,,,,,,,,,,,,,
,,"NUTS Level 2",,,,,,,,,,,,,,,,,,
,,,"NUTS Level 3",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"UK","UNITED KINGDOM",,,"10,030","10,522","10,924","11,694","12,275","12,667","13,141","13,521","14,028","14,561","15,211","15,571","16,058","16,775","16,875","17,378","17,559"
,,,,,,,,,,,,,,,,,,,,
"UKC","North East",,,"8,707","8,970","9,183","9,760","10,343","10,626","11,055","11,576","11,832","12,275","12,568","12,834","13,544","14,141","14,199","14,805","14,927"
,,,,,,,,,,,,,,,,,,,,
"UKC1",,"Tees Valley and Durham",,"8,675","8,853","9,093","9,714","10,264","10,535","10,906","11,421","11,745","12,109","12,392","12,612","13,262","13,836","13,915","14,511","14,788"
"UKC11",,,"Hartlepool and Stockton-on-Tees","8,654","8,806","9,095","9,645","10,139","10,528","10,985","11,566","12,014","12,452","12,702","13,012","13,591","14,165","14,377","15,041","15,321"
"UKC12",,,"South Teesside","8,399","8,354","8,650","9,351","9,853","10,024","10,392","10,863","11,186","11,611","11,764","12,056","12,775","13,199","13,347","14,066","14,427"
"UKC13",,,"Darlington","8,898","8,994","9,185","9,760","10,891","11,085","11,470","11,840","12,102","12,354","12,940","12,868","13,702","14,131","13,837","14,414","14,911"
"UKC14",,,"Durham CC","8,799","9,136","9,327","9,949","10,442","10,718","11,038","11,568","11,835","12,143","12,452","12,640","13,251","13,935","13,977","14,473","14,659"
,,,,,,,,,,,,,,,,,,,,
"UKC2",,"Northumberland and Tyne and Wear",,"8,733","9,066","9,257","9,797","10,408","10,701","11,178","11,704","11,903","12,411","12,714","13,017","13,778","14,394","14,435","15,048","15,041"
"UKC21",,,"Northumberland","9,533","9,845","10,241","10,866","11,554","11,814","12,608","12,914","13,311","14,276","14,397","15,149","16,272","16,804","16,819","17,539","17,600"
"UKC22",,,"Tyneside","8,671","9,057","9,150","9,596","10,226","10,517","10,910","11,556","11,615","11,999","12,331","12,499","13,194","13,845","13,863","14,451","14,566"
"UKC23",,,"Sunderland","8,063","8,264","8,506","9,214","9,682","10,010","10,370","10,789","11,171","11,523","11,936","12,125","12,667","13,277","13,416","13,996","13,556"
,,,,,,,,,,,,,,,,,,,,
"UKD","North West",,,"9,149","9,497","9,925","10,534","10,944","11,339","11,791","12,197","12,636","13,006","13,496","13,740","14,290","14,875","14,914","15,407","15,412"
,,,,,,,,,,,,,,,,,,,,
"UKD1",,"Cumbria",,"9,278","9,767","10,166","10,467","11,327","11,555","12,206","12,668","13,261","13,710","14,237","14,461","15,267","16,165","16,132","16,735","17,178"
