Borough,HB.Jun11
Camden,"28,420"
City of London,"1,060"
Hackney,"41,700"
Hammersmith and Fulham,"22,020"
Haringey,"36,440"
Islington,"31,610"
Kensington and Chelsea,"17,900"
Lambeth,"40,950"
Lewisham,"35,950"
Newham,"35,240"
Southwark,"38,740"
Tower Hamlets,"36,490"
Wandsworth,"27,140"
Westminster,"28,040"
Barking and Dagenham,"22,070"
Barnet,"27,720"
Bexley,"14,280"
Brent,"36,170"
Bromley,"18,800"
Croydon,"34,590"
Ealing,"31,140"
Enfield,"32,440"
Greenwich,"27,950"
Harrow,"15,970"
Havering,"14,070"
Hillingdon,"20,150"
Hounslow,"21,030"
Kingston upon Thames,"9,050"
Merton,"13,090"
Redbridge,"18,770"
Richmond upon Thames,"9,500"
Sutton,"12,590"
Waltham Forest,"27,500"
