"","LSOA01CD","hex","hex.id"
"1","E01000001",110,"ID110"
"2","E01000002",110,"ID110"
"3","E01000003",110,"ID110"
"4","E01000005",110,"ID110"
"5","E01000006",130,"ID130"
"6","E01000007",130,"ID130"
"7","E01000008",130,"ID130"
"8","E01000009",130,"ID130"
"9","E01000010",130,"ID130"
"10","E01000011",130,"ID130"
"11","E01000012",130,"ID130"
"12","E01000013",132,"ID132"
"13","E01000014",131,"ID131"
"14","E01000015",132,"ID132"
"15","E01000016",149,"ID149"
"16","E01000017",149,"ID149"
"17","E01000018",149,"ID149"
"18","E01000019",148,"ID148"
"19","E01000020",149,"ID149"
"20","E01000021",148,"ID148"
"21","E01000022",148,"ID148"
"22","E01000023",148,"ID148"
"23","E01000024",131,"ID131"
"24","E01000025",131,"ID131"
"25","E01000027",167,"ID167"
"26","E01000028",167,"ID167"
"27","E01000029",167,"ID167"
"28","E01000030",167,"ID167"
"29","E01000031",167,"ID167"
"30","E01000032",167,"ID167"
"31","E01000033",149,"ID149"
"32","E01000034",149,"ID149"
"33","E01000035",149,"ID149"
"34","E01000036",132,"ID132"
"35","E01000037",150,"ID150"
"36","E01000038",149,"ID149"
"37","E01000039",150,"ID150"
"38","E01000040",131,"ID131"
"39","E01000041",131,"ID131"
"40","E01000042",131,"ID131"
"41","E01000043",131,"ID131"
"42","E01000044",130,"ID130"
"43","E01000045",131,"ID131"
"44","E01000046",131,"ID131"
"45","E01000048",114,"ID114"
"46","E01000049",130,"ID130"
"47","E01000050",130,"ID130"
"48","E01000051",130,"ID130"
"49","E01000052",114,"ID114"
"50","E01000053",131,"ID131"
"51","E01000054",131,"ID131"
"52","E01000055",131,"ID131"
"53","E01000056",131,"ID131"
"54","E01000057",131,"ID131"
"55","E01000058",131,"ID131"
"56","E01000059",131,"ID131"
"57","E01000060",149,"ID149"
"58","E01000061",149,"ID149"
"59","E01000062",149,"ID149"
"60","E01000063",149,"ID149"
"61","E01000064",149,"ID149"
"62","E01000065",149,"ID149"
"63","E01000066",131,"ID131"
"64","E01000067",131,"ID131"
"65","E01000068",130,"ID130"
"66","E01000069",131,"ID131"
"67","E01000070",148,"ID148"
"68","E01000071",131,"ID131"
"69","E01000072",131,"ID131"
"70","E01000073",131,"ID131"
"71","E01000074",131,"ID131"
"72","E01000075",131,"ID131"
"73","E01000076",131,"ID131"
"74","E01000077",131,"ID131"
"75","E01000078",149,"ID149"
"76","E01000079",149,"ID149"
"77","E01000080",131,"ID131"
"78","E01000081",149,"ID149"
"79","E01000082",149,"ID149"
"80","E01000083",149,"ID149"
"81","E01000084",131,"ID131"
"82","E01000085",132,"ID132"
"83","E01000086",131,"ID131"
"84","E01000087",132,"ID132"
"85","E01000088",132,"ID132"
"86","E01000089",132,"ID132"
"87","E01000090",132,"ID132"
"88","E01000091",131,"ID131"
"89","E01000092",114,"ID114"
"90","E01000093",114,"ID114"
"91","E01000094",131,"ID131"
"92","E01000095",131,"ID131"
"93","E01000096",131,"ID131"
"94","E01000097",149,"ID149"
"95","E01000098",149,"ID149"
"96","E01000099",149,"ID149"
"97","E01000100",149,"ID149"
"98","E01000101",149,"ID149"
"99","E01000102",149,"ID149"
"100","E01000103",132,"ID132"
"101","E01000104",132,"ID132"
"102","E01000105",132,"ID132"
"103","E01000106",132,"ID132"
"104","E01000107",132,"ID132"
"105","E01000108",132,"ID132"
"106","E01000109",149,"ID149"
"107","E01000110",168,"ID168"
"108","E01000111",149,"ID149"
"109","E01000112",149,"ID149"
"110","E01000113",167,"ID167"
"111","E01000114",149,"ID149"
"112","E01000115",193,"ID193"
"113","E01000116",193,"ID193"
"114","E01000117",193,"ID193"
"115","E01000118",193,"ID193"
"116","E01000119",193,"ID193"
"117","E01000120",193,"ID193"
"118","E01000121",193,"ID193"
"119","E01000122",193,"ID193"
"120","E01000123",193,"ID193"
"121","E01000124",178,"ID178"
"122","E01000125",176,"ID176"
"123","E01000126",176,"ID176"
"124","E01000127",176,"ID176"
"125","E01000128",176,"ID176"
"126","E01000129",158,"ID158"
"127","E01000130",176,"ID176"
"128","E01000131",158,"ID158"
"129","E01000132",176,"ID176"
"130","E01000133",176,"ID176"
"131","E01000134",176,"ID176"
"132","E01000135",141,"ID141"
"133","E01000136",141,"ID141"
"134","E01000137",141,"ID141"
"135","E01000138",141,"ID141"
"136","E01000139",141,"ID141"
"137","E01000140",141,"ID141"
"138","E01000141",141,"ID141"
"139","E01000142",141,"ID141"
"140","E01000143",141,"ID141"
"141","E01000144",160,"ID160"
"142","E01000145",160,"ID160"
"143","E01000146",160,"ID160"
"144","E01000147",159,"ID159"
"145","E01000148",158,"ID158"
"146","E01000150",159,"ID159"
"147","E01000151",176,"ID176"
"148","E01000152",176,"ID176"
"149","E01000153",176,"ID176"
"150","E01000154",159,"ID159"
"151","E01000155",159,"ID159"
"152","E01000156",178,"ID178"
"153","E01000157",178,"ID178"
"154","E01000158",178,"ID178"
"155","E01000159",178,"ID178"
"156","E01000160",178,"ID178"
"157","E01000161",178,"ID178"
"158","E01000162",178,"ID178"
"159","E01000163",178,"ID178"
"160","E01000164",178,"ID178"
"161","E01000165",178,"ID178"
"162","E01000166",202,"ID202"
"163","E01000167",202,"ID202"
"164","E01000168",202,"ID202"
"165","E01000169",202,"ID202"
"166","E01000170",202,"ID202"
"167","E01000171",192,"ID192"
"168","E01000172",193,"ID193"
"169","E01000173",193,"ID193"
"170","E01000174",192,"ID192"
"171","E01000175",193,"ID193"
"172","E01000176",160,"ID160"
"173","E01000177",178,"ID178"
"174","E01000178",178,"ID178"
"175","E01000179",160,"ID160"
"176","E01000180",160,"ID160"
"177","E01000181",160,"ID160"
"178","E01000182",160,"ID160"
"179","E01000183",160,"ID160"
"180","E01000184",178,"ID178"
"181","E01000185",178,"ID178"
"182","E01000186",176,"ID176"
"183","E01000187",190,"ID190"
"184","E01000188",190,"ID190"
"185","E01000189",175,"ID175"
"186","E01000190",175,"ID175"
"187","E01000191",175,"ID175"
"188","E01000192",176,"ID176"
"189","E01000193",175,"ID175"
"190","E01000194",176,"ID176"
"191","E01000195",190,"ID190"
"192","E01000196",177,"ID177"
"193","E01000197",160,"ID160"
"194","E01000198",177,"ID177"
"195","E01000199",177,"ID177"
"196","E01000200",177,"ID177"
"197","E01000201",160,"ID160"
"198","E01000202",160,"ID160"
"199","E01000203",160,"ID160"
"200","E01000204",177,"ID177"
"201","E01000205",160,"ID160"
"202","E01000206",160,"ID160"
"203","E01000207",160,"ID160"
"204","E01000208",160,"ID160"
"205","E01000209",160,"ID160"
"206","E01000210",160,"ID160"
"207","E01000211",160,"ID160"
"208","E01000212",160,"ID160"
"209","E01000213",160,"ID160"
"210","E01000214",160,"ID160"
"211","E01000215",159,"ID159"
"212","E01000216",160,"ID160"
"213","E01000217",160,"ID160"
"214","E01000218",159,"ID159"
"215","E01000219",159,"ID159"
"216","E01000220",159,"ID159"
"217","E01000221",159,"ID159"
"218","E01000222",159,"ID159"
"219","E01000223",159,"ID159"
"220","E01000224",159,"ID159"
"221","E01000225",159,"ID159"
"222","E01000226",176,"ID176"
"223","E01000227",176,"ID176"
"224","E01000228",176,"ID176"
"225","E01000229",176,"ID176"
"226","E01000230",176,"ID176"
"227","E01000231",176,"ID176"
"228","E01000232",176,"ID176"
"229","E01000233",176,"ID176"
"230","E01000234",176,"ID176"
"231","E01000235",176,"ID176"
"232","E01000236",159,"ID159"
"233","E01000237",159,"ID159"
"234","E01000238",159,"ID159"
"235","E01000239",159,"ID159"
"236","E01000240",159,"ID159"
"237","E01000241",159,"ID159"
"238","E01000242",159,"ID159"
"239","E01000243",159,"ID159"
"240","E01000244",159,"ID159"
"241","E01000245",159,"ID159"
"242","E01000246",201,"ID201"
"243","E01000247",202,"ID202"
"244","E01000248",201,"ID201"
"245","E01000249",201,"ID201"
"246","E01000250",201,"ID201"
"247","E01000251",192,"ID192"
"248","E01000252",192,"ID192"
"249","E01000253",191,"ID191"
"250","E01000254",201,"ID201"
"251","E01000255",177,"ID177"
"252","E01000256",176,"ID176"
"253","E01000257",177,"ID177"
"254","E01000258",176,"ID176"
"255","E01000259",177,"ID177"
"256","E01000260",177,"ID177"
"257","E01000261",176,"ID176"
"258","E01000262",177,"ID177"
"259","E01000263",176,"ID176"
"260","E01000264",176,"ID176"
"261","E01000265",193,"ID193"
"262","E01000266",192,"ID192"
"263","E01000267",192,"ID192"
"264","E01000268",192,"ID192"
"265","E01000269",192,"ID192"
"266","E01000270",192,"ID192"
"267","E01000271",192,"ID192"
"268","E01000272",192,"ID192"
"269","E01000273",192,"ID192"
"270","E01000274",193,"ID193"
"271","E01000275",177,"ID177"
"272","E01000276",177,"ID177"
"273","E01000277",177,"ID177"
"274","E01000278",177,"ID177"
"275","E01000279",192,"ID192"
"276","E01000280",192,"ID192"
"277","E01000281",192,"ID192"
"278","E01000282",192,"ID192"
"279","E01000283",192,"ID192"
"280","E01000284",192,"ID192"
"281","E01000285",191,"ID191"
"282","E01000286",191,"ID191"
"283","E01000287",191,"ID191"
"284","E01000288",192,"ID192"
"285","E01000289",192,"ID192"
"286","E01000290",191,"ID191"
"287","E01000291",192,"ID192"
"288","E01000292",201,"ID201"
"289","E01000293",192,"ID192"
"290","E01000294",201,"ID201"
"291","E01000295",177,"ID177"
"292","E01000296",177,"ID177"
"293","E01000297",160,"ID160"
"294","E01000298",177,"ID177"
"295","E01000299",178,"ID178"
"296","E01000300",177,"ID177"
"297","E01000301",177,"ID177"
"298","E01000302",177,"ID177"
"299","E01000303",177,"ID177"
"300","E01000304",177,"ID177"
"301","E01000305",159,"ID159"
"302","E01000306",159,"ID159"
"303","E01000307",159,"ID159"
"304","E01000308",140,"ID140"
"305","E01000309",159,"ID159"
"306","E01000310",159,"ID159"
"307","E01000311",159,"ID159"
"308","E01000312",140,"ID140"
"309","E01000313",159,"ID159"
"310","E01000314",159,"ID159"
"311","E01000315",178,"ID178"
"312","E01000316",178,"ID178"
"313","E01000317",178,"ID178"
"314","E01000318",178,"ID178"
"315","E01000319",178,"ID178"
"316","E01000320",178,"ID178"
"317","E01000321",192,"ID192"
"318","E01000322",178,"ID178"
"319","E01000323",178,"ID178"
"320","E01000324",178,"ID178"
"321","E01000325",83,"ID83"
"322","E01000326",84,"ID84"
"323","E01000327",83,"ID83"
"324","E01000328",83,"ID83"
"325","E01000329",83,"ID83"
"326","E01000330",83,"ID83"
"327","E01000331",83,"ID83"
"328","E01000332",99,"ID99"
"329","E01000333",98,"ID98"
"330","E01000334",98,"ID98"
"331","E01000335",99,"ID99"
"332","E01000336",99,"ID99"
"333","E01000337",98,"ID98"
"334","E01000338",99,"ID99"
"335","E01000339",67,"ID67"
"336","E01000340",82,"ID82"
"337","E01000341",67,"ID67"
"338","E01000342",67,"ID67"
"339","E01000343",82,"ID82"
"340","E01000344",67,"ID67"
"341","E01000345",67,"ID67"
"342","E01000346",68,"ID68"
"343","E01000347",82,"ID82"
"344","E01000348",68,"ID68"
"345","E01000349",68,"ID68"
"346","E01000350",68,"ID68"
"347","E01000351",68,"ID68"
"348","E01000352",68,"ID68"
"349","E01000353",83,"ID83"
"350","E01000354",83,"ID83"
"351","E01000355",83,"ID83"
"352","E01000356",83,"ID83"
"353","E01000357",83,"ID83"
"354","E01000358",83,"ID83"
"355","E01000359",83,"ID83"
"356","E01000360",83,"ID83"
"357","E01000361",83,"ID83"
"358","E01000362",83,"ID83"
"359","E01000363",83,"ID83"
"360","E01000364",83,"ID83"
"361","E01000365",83,"ID83"
"362","E01000366",83,"ID83"
"363","E01000367",84,"ID84"
"364","E01000368",84,"ID84"
"365","E01000369",83,"ID83"
"366","E01000370",83,"ID83"
"367","E01000371",84,"ID84"
"368","E01000372",99,"ID99"
"369","E01000373",99,"ID99"
"370","E01000374",84,"ID84"
"371","E01000375",84,"ID84"
"372","E01000376",84,"ID84"
"373","E01000377",84,"ID84"
"374","E01000378",84,"ID84"
"375","E01000379",69,"ID69"
"376","E01000380",84,"ID84"
"377","E01000381",68,"ID68"
"378","E01000382",68,"ID68"
"379","E01000383",55,"ID55"
"380","E01000384",54,"ID54"
"381","E01000385",55,"ID55"
