"","lsoa","hex","hex.id"
"1","E01000056",131,"ID131"
"2","E01000057",131,"ID131"
"3","E01000054",131,"ID131"
"4","E01000055",131,"ID131"
"5","E01000052",114,"ID114"
"6","E01000053",131,"ID131"
"7","E01000050",130,"ID130"
"8","E01000051",130,"ID130"
"9","E01000058",131,"ID131"
"10","E01000059",131,"ID131"
"11","E01002006",161,"ID161"
"12","E01002087",162,"ID162"
"13","E01002007",161,"ID161"
"14","E01002086",180,"ID180"
"15","E01002004",162,"ID162"
"16","E01002085",162,"ID162"
"17","E01002005",161,"ID161"
"18","E01002084",162,"ID162"
"19","E01002002",162,"ID162"
"20","E01002083",162,"ID162"
"21","E01002082",180,"ID180"
"22","E01004006",79,"ID79"
"23","E01004087",13,"ID13"
"24","E01002000",161,"ID161"
"25","E01002081",163,"ID163"
"26","E01004007",94,"ID94"
"27","E01004086",24,"ID24"
"28","E01002001",162,"ID162"
"29","E01002080",163,"ID163"
"30","E01004004",79,"ID79"
"31","E01004085",13,"ID13"
"32","E01004005",79,"ID79"
"33","E01004084",13,"ID13"
"34","E01004002",79,"ID79"
"35","E01000934",124,"ID124"
"36","E01000935",124,"ID124"
"37","E01000932",141,"ID141"
"38","E01000933",124,"ID124"
"39","E01000930",124,"ID124"
"40","E01000931",141,"ID141"
"41","E01000938",126,"ID126"
"42","E01000939",125,"ID125"
"43","E01001426",195,"ID195"
"44","E01001427",181,"ID181"
"45","E01001424",195,"ID195"
"46","E01001425",180,"ID180"
"47","E01001422",202,"ID202"
"48","E01001423",195,"ID195"
"49","E01001420",193,"ID193"
"50","E01001421",193,"ID193"
"51","E01001428",195,"ID195"
"52","E01003416",36,"ID36"
"53","E01003497",112,"ID112"
"54","E01001429",195,"ID195"
"55","E01003417",35,"ID35"
"56","E01003496",129,"ID129"
"57","E01003414",36,"ID36"
"58","E01003495",113,"ID113"
"59","E01003415",36,"ID36"
"60","E01003494",113,"ID113"
"61","E01003412",36,"ID36"
"62","E01003493",130,"ID130"
"63","E01003413",36,"ID36"
"64","E01003492",113,"ID113"
"65","E01003491",129,"ID129"
"66","E01003411",36,"ID36"
"67","E01003418",22,"ID22"
"68","E01003499",112,"ID112"
"69","E01003419",34,"ID34"
"70","E01003498",129,"ID129"
"71","E01002846",91,"ID91"
"72","E01002847",91,"ID91"
"73","E01002844",76,"ID76"
"74","E01002845",92,"ID92"
"75","E01002842",76,"ID76"
"76","E01002843",91,"ID91"
"77","E01002840",76,"ID76"
"78","E01002841",91,"ID91"
"79","E01002848",91,"ID91"
"80","E01002849",91,"ID91"
"81","E01003777",165,"ID165"
"82","E01003774",165,"ID165"
"83","E01003775",165,"ID165"
"84","E01003772",166,"ID166"
"85","E01003773",167,"ID167"
"86","E01003770",167,"ID167"
"87","E01003771",167,"ID167"
"88","E01003778",165,"ID165"
"89","E01003779",165,"ID165"
"90","E01001717",143,"ID143"
"91","E01001796",145,"ID145"
"92","E01001714",162,"ID162"
"93","E01001795",145,"ID145"
"94","E01001715",162,"ID162"
"95","E01004083",14,"ID14"
"96","E01004003",79,"ID79"
"97","E01004082",24,"ID24"
"98","E01004000",79,"ID79"
"99","E01004081",24,"ID24"
"100","E01004001",79,"ID79"
"101","E01004080",24,"ID24"
"102","E01002089",180,"ID180"
"103","E01002009",160,"ID160"
"104","E01002088",180,"ID180"
"105","E01004008",79,"ID79"
"106","E01004089",13,"ID13"
"107","E01004088",24,"ID24"
"108","E01002366",150,"ID150"
"109","E01002367",169,"ID169"
"110","E01002364",150,"ID150"
"111","E01002365",150,"ID150"
"112","E01002362",151,"ID151"
"113","E01002363",150,"ID150"
"114","E01004366",165,"ID165"
"115","E01002360",151,"ID151"
"116","E01004367",164,"ID164"
"117","E01002361",150,"ID150"
