"","long","lat","order","hole","piece","group","id","n3"
"1",527183.51230795,174002.40031654,1,FALSE,"1","1.1","1","Inner London - East"
"2",527184.91243301,174010.34082031,2,FALSE,"1","1.1","1","Inner London - East"
"3",527191.08904847,174015.52361607,3,FALSE,"1","1.1","1","Inner London - East"
"4",528702.41379253,174888.08736389,4,FALSE,"1","1.1","1","Inner London - East"
"5",528729.01823684,174910.4111433,5,FALSE,"1","1.1","1","Inner London - East"
"6",528746.38305461,174940.48788994,6,FALSE,"1","1.1","1","Inner London - East"
"7",528752.41379253,174974.68990427,7,FALSE,"1","1.1","1","Inner London - East"
"8",528752.41379253,176719.81739991,8,FALSE,"1","1.1","1","Inner London - East"
"9",528753.81391759,176727.75790368,9,FALSE,"1","1.1","1","Inner London - East"
"10",528759.99053305,176732.94069944,10,FALSE,"1","1.1","1","Inner London - East"
"11",530271.31527711,177605.50444725,11,FALSE,"1","1.1","1","Inner London - East"
"12",530297.91972142,177627.82822666,12,FALSE,"1","1.1","1","Inner London - East"
"13",530315.28453919,177657.9049733,13,FALSE,"1","1.1","1","Inner London - East"
"14",530321.31527711,177692.10698763,14,FALSE,"1","1.1","1","Inner London - East"
"15",530321.31527711,179437.23448327,15,FALSE,"1","1.1","1","Inner London - East"
"16",530322.71540217,179445.17498704,16,FALSE,"1","1.1","1","Inner London - East"
"17",530328.89201763,179450.3577828,17,FALSE,"1","1.1","1","Inner London - East"
"18",531840.21676169,180322.92153061,18,FALSE,"1","1.1","1","Inner London - East"
"19",531866.821206,180345.24531002,19,FALSE,"1","1.1","1","Inner London - East"
"20",531884.18602377,180375.32205666,20,FALSE,"1","1.1","1","Inner London - East"
"21",531890.21676169,180409.52407099,21,FALSE,"1","1.1","1","Inner London - East"
"22",531890.21676169,182105.66540606,22,FALSE,"1","1.1","1","Inner London - East"
"23",531884.18602377,182139.86742039,23,FALSE,"1","1.1","1","Inner London - East"
"24",531866.821206,182169.94416703,24,FALSE,"1","1.1","1","Inner London - East"
"25",531840.21676169,182192.26794644,25,FALSE,"1","1.1","1","Inner London - East"
"26",530328.89201763,183064.83169426,26,FALSE,"1","1.1","1","Inner London - East"
"27",530322.71540217,183070.01449002,27,FALSE,"1","1.1","1","Inner London - East"
"28",530321.31527711,183077.95499379,28,FALSE,"1","1.1","1","Inner London - East"
"29",530321.31527711,184823.08248943,29,FALSE,"1","1.1","1","Inner London - East"
"30",530315.28453919,184857.28450376,30,FALSE,"1","1.1","1","Inner London - East"
"31",530297.91972142,184887.3612504,31,FALSE,"1","1.1","1","Inner London - East"
"32",530271.31527711,184909.68502981,32,FALSE,"1","1.1","1","Inner London - East"
"33",528759.99053305,185782.24877762,33,FALSE,"1","1.1","1","Inner London - East"
"34",528753.81391759,185787.43157338,34,FALSE,"1","1.1","1","Inner London - East"
"35",528752.41379253,185795.37207715,35,FALSE,"1","1.1","1","Inner London - East"
"36",528752.41379253,187540.49957279,36,FALSE,"1","1.1","1","Inner London - East"
"37",528746.38305461,187574.70158712,37,FALSE,"1","1.1","1","Inner London - East"
"38",528729.01823684,187604.77833376,38,FALSE,"1","1.1","1","Inner London - East"
"39",528702.41379253,187627.10211317,39,FALSE,"1","1.1","1","Inner London - East"
"40",527191.08904847,188499.66586098,40,FALSE,"1","1.1","1","Inner London - East"
"41",527184.91243301,188504.84865674,41,FALSE,"1","1.1","1","Inner London - East"
"42",527183.51230795,188512.78916051,42,FALSE,"1","1.1","1","Inner London - East"
"43",527183.51230795,190306.90281672,43,FALSE,"1","1.1","1","Inner London - East"
"44",527184.91243301,190314.84332049,44,FALSE,"1","1.1","1","Inner London - East"
"45",527191.08904847,190320.02611625,45,FALSE,"1","1.1","1","Inner London - East"
"46",528702.41379253,191192.58986407,46,FALSE,"1","1.1","1","Inner London - East"
"47",528729.01823684,191214.91364348,47,FALSE,"1","1.1","1","Inner London - East"
"48",528746.38305461,191244.99039012,48,FALSE,"1","1.1","1","Inner London - East"
"49",528752.41379253,191279.19240445,49,FALSE,"1","1.1","1","Inner London - East"
"50",528752.41379253,193024.31990009,50,FALSE,"1","1.1","1","Inner London - East"
"51",528753.81391759,193032.26040386,51,FALSE,"1","1.1","1","Inner London - East"
"52",528759.99053305,193037.44319962,52,FALSE,"1","1.1","1","Inner London - East"
"53",530313.73853659,193934.50002771,53,FALSE,"1","1.1","1","Inner London - East"
"54",530321.31527711,193937.25773573,54,FALSE,"1","1.1","1","Inner London - East"
"55",530328.89201763,193934.50002771,55,FALSE,"1","1.1","1","Inner London - East"
"56",531840.21676169,193061.9362799,56,FALSE,"1","1.1","1","Inner London - East"
"57",531872.85194392,193050.05804498,57,FALSE,"1","1.1","1","Inner London - East"
"58",531907.58157946,193050.05804498,58,FALSE,"1","1.1","1","Inner London - East"
"59",531940.21676169,193061.9362799,59,FALSE,"1","1.1","1","Inner London - East"
"60",533451.54150575,193934.50002771,60,FALSE,"1","1.1","1","Inner London - East"
"61",533459.11824627,193937.25773573,61,FALSE,"1","1.1","1","Inner London - East"
"62",533466.69498679,193934.50002771,62,FALSE,"1","1.1","1","Inner London - East"
"63",535020.44299033,193037.44319962,63,FALSE,"1","1.1","1","Inner London - East"
"64",535026.61960579,193032.26040386,64,FALSE,"1","1.1","1","Inner London - East"
"65",535028.01973085,193024.31990009,65,FALSE,"1","1.1","1","Inner London - East"
"66",535028.01973085,191279.19240445,66,FALSE,"1","1.1","1","Inner London - East"
"67",535034.05046877,191244.99039012,67,FALSE,"1","1.1","1","Inner London - East"
"68",535051.41528654,191214.91364348,68,FALSE,"1","1.1","1","Inner London - East"
"69",535078.01973085,191192.58986407,69,FALSE,"1","1.1","1","Inner London - East"
"70",536589.34447491,190320.02611625,70,FALSE,"1","1.1","1","Inner London - East"
"71",536595.52109037,190314.84332049,71,FALSE,"1","1.1","1","Inner London - East"
"72",536596.92121543,190306.90281672,72,FALSE,"1","1.1","1","Inner London - East"
"73",536596.92121543,188561.77532108,73,FALSE,"1","1.1","1","Inner London - East"
"74",536602.95195335,188527.57330675,74,FALSE,"1","1.1","1","Inner London - East"
"75",536620.31677112,188497.49656011,75,FALSE,"1","1.1","1","Inner London - East"
"76",536646.92121543,188475.1727807,76,FALSE,"1","1.1","1","Inner London - East"
"77",538158.24595949,187602.60903289,77,FALSE,"1","1.1","1","Inner London - East"
"78",538164.42257495,187597.42623713,78,FALSE,"1","1.1","1","Inner London - East"
"79",538165.82270001,187589.48573336,79,FALSE,"1","1.1","1","Inner London - East"
"80",538165.82270001,185844.35823772,80,FALSE,"1","1.1","1","Inner London - East"
"81",538171.85343793,185810.15622339,81,FALSE,"1","1.1","1","Inner London - East"
"82",538189.2182557,185780.07947675,82,FALSE,"1","1.1","1","Inner London - East"
"83",538215.82270001,185757.75569734,83,FALSE,"1","1.1","1","Inner London - East"
"84",539684.72418459,184909.68502981,84,FALSE,"1","1.1","1","Inner London - East"
"85",539717.35936682,184897.80679489,85,FALSE,"1","1.1","1","Inner London - East"
"86",539752.08900236,184897.80679489,86,FALSE,"1","1.1","1","Inner London - East"
"87",539784.72418459,184909.68502981,87,FALSE,"1","1.1","1","Inner London - East"
"88",541253.62566917,185757.75569734,88,FALSE,"1","1.1","1","Inner London - East"
"89",541280.23011348,185780.07947675,89,FALSE,"1","1.1","1","Inner London - East"
"90",541297.59493125,185810.15622339,90,FALSE,"1","1.1","1","Inner London - East"
"91",541303.62566917,185844.35823772,91,FALSE,"1","1.1","1","Inner London - East"
"92",541303.62566917,187589.48573336,92,FALSE,"1","1.1","1","Inner London - East"
"93",541305.02579423,187597.42623713,93,FALSE,"1","1.1","1","Inner London - East"
"94",541311.20240969,187602.60903289,94,FALSE,"1","1.1","1","Inner London - East"
"95",542864.95041323,188499.66586098,95,FALSE,"1","1.1","1","Inner London - East"
"96",542872.52715375,188502.423569,96,FALSE,"1","1.1","1","Inner London - East"
"97",542880.10389427,188499.66586098,97,FALSE,"1","1.1","1","Inner London - East"
"98",544433.85189781,187602.60903289,98,FALSE,"1","1.1","1","Inner London - East"
"99",544440.02851327,187597.42623713,99,FALSE,"1","1.1","1","Inner London - East"
"100",544441.42863833,187589.48573336,100,FALSE,"1","1.1","1","Inner London - East"
"101",544441.42863833,185844.35823772,101,FALSE,"1","1.1","1","Inner London - East"
"102",544447.45937625,185810.15622339,102,FALSE,"1","1.1","1","Inner London - East"
"103",544464.82419402,185780.07947675,103,FALSE,"1","1.1","1","Inner London - East"
"104",544491.42863833,185757.75569734,104,FALSE,"1","1.1","1","Inner London - East"
"105",546002.75338239,184885.19194953,105,FALSE,"1","1.1","1","Inner London - East"
"106",546008.92999785,184880.00915377,106,FALSE,"1","1.1","1","Inner London - East"
"107",546010.33012291,184872.06865,107,FALSE,"1","1.1","1","Inner London - East"
"108",546010.33012291,183077.95499379,108,FALSE,"1","1.1","1","Inner London - East"
"109",546008.92999785,183070.01449002,109,FALSE,"1","1.1","1","Inner London - East"
"110",546002.75338239,183064.83169426,110,FALSE,"1","1.1","1","Inner London - East"
"111",544491.42863833,182192.26794644,111,FALSE,"1","1.1","1","Inner London - East"
